,consumption,true_change_point,trend
2022-01-01,8.09278272,0,baseline
2022-01-02,8.26060272,0,baseline
2022-01-03,8.27260272,0,baseline
2022-01-04,6.76060272,0,baseline
2022-01-05,5.32060272,0,baseline
2022-01-06,5.32060272,0,baseline
2022-01-07,5.32060272,0,baseline
2022-01-08,6.76060272,0,baseline
2022-01-09,8.26060272,0,baseline
2022-01-10,8.26060272,0,baseline
2022-01-11,5.26060272,0,baseline
2022-01-12,5.32060272,0,baseline
2022-01-13,5.30860272,0,baseline
2022-01-14,5.30860272,0,baseline
2022-01-15,6.76060272,0,baseline
2022-01-16,8.26060272,0,baseline
2022-01-17,8.26060272,0,baseline
2022-01-18,6.76060272,0,baseline
2022-01-19,5.30860272,0,baseline
2022-01-20,5.30860272,0,baseline
2022-01-21,5.30860272,0,baseline
2022-01-22,6.76060272,0,baseline
2022-01-23,8.24860272,0,baseline
2022-01-24,6.74860272,0,baseline
2022-01-25,5.24860272,0,baseline
2022-01-26,5.29660272,0,baseline
2022-01-27,5.33260272,0,baseline
2022-01-28,5.29660272,0,baseline
2022-01-29,6.74860272,0,baseline
2022-01-30,8.23660272,0,baseline
2022-01-31,6.74860272,0,baseline
2022-02-01,5.24860272,0,baseline
2022-02-02,5.29660272,0,baseline
2022-02-03,5.29660272,0,baseline
2022-02-04,5.29660272,0,baseline
2022-02-05,6.73660272,0,baseline
2022-02-06,8.29660272,0,baseline
2022-02-07,8.23660272,0,baseline
2022-02-08,5.23660272,0,baseline
2022-02-09,5.28460272,0,baseline
2022-02-10,5.34460272,0,baseline
2022-02-11,5.27260272,0,baseline
2022-02-12,6.72460272,0,baseline
2022-02-13,8.22460272,0,baseline
2022-02-14,8.23660272,0,baseline
2022-02-15,5.22460272,0,baseline
2022-02-16,5.28460272,0,baseline
2022-02-17,5.27260272,0,baseline
2022-02-18,5.28460272,0,baseline
2022-02-19,6.71260272,0,baseline
2022-02-20,8.22460272,0,baseline
2022-02-21,6.71260272,0,baseline
2022-02-22,5.21260272,0,baseline
2022-02-23,5.26060272,0,baseline
2022-02-24,5.27260272,0,baseline
2022-02-25,5.24860272,0,baseline
2022-02-26,6.70060272,0,baseline
2022-02-27,8.20060272,0,baseline
2022-02-28,6.70060272,0,baseline
2022-03-01,5.20060272,0,baseline
2022-03-02,5.24860272,0,baseline
2022-03-03,5.24860272,0,baseline
2022-03-04,5.24860272,0,baseline
2022-03-05,6.68860272,0,baseline
2022-03-06,8.18860272,0,baseline
2022-03-07,8.18860272,0,baseline
2022-03-08,6.68860272,0,baseline
2022-03-09,5.23660272,0,baseline
2022-03-10,5.23660272,0,baseline
2022-03-11,5.23660272,0,baseline
2022-03-12,6.67660272,0,baseline
2022-03-13,8.17660272,0,baseline
2022-03-14,8.17660272,0,baseline
2022-03-15,5.17660272,0,baseline
2022-03-16,5.23660272,0,baseline
2022-03-17,5.22460272,0,baseline
2022-03-18,5.22460272,0,baseline
2022-03-19,6.67660272,0,baseline
2022-03-20,8.17660272,0,baseline
2022-03-21,8.17660272,0,baseline
2022-03-22,5.17660272,0,baseline
2022-03-23,5.22460272,0,baseline
2022-03-24,5.21260272,0,baseline
2022-03-25,5.21260272,0,baseline
2022-03-26,6.6646027199999995,0,baseline
2022-03-27,8.16460272,0,baseline
2022-03-28,6.6646027199999995,0,baseline
2022-03-29,5.17660272,0,baseline
2022-03-30,5.21260272,0,baseline
2022-03-31,5.21260272,0,baseline
2022-04-01,5.21260272,0,baseline
2022-04-02,6.6646027199999995,0,baseline
2022-04-03,8.152602719999999,0,baseline
2022-04-04,6.67660272,0,baseline
2022-04-05,5.15260272,0,baseline
2022-04-06,5.20060272,0,baseline
2022-04-07,5.20060272,0,baseline
2022-04-08,5.20060272,0,baseline
2022-04-09,6.65260272,0,baseline
2022-04-10,8.152602719999999,0,baseline
2022-04-11,8.152602719999999,0,baseline
