,consumption,true_change_point,trend
2022-01-01,9.360602720000001,0,baseline
2022-01-02,10.860602720000001,0,baseline
2022-01-03,10.87260272,0,baseline
2022-01-04,10.860602720000001,0,baseline
2022-01-05,5.32060272,0,baseline
2022-01-06,9.007335809,0,baseline
2022-01-07,6.82060272,0,baseline
2022-01-08,9.360602720000001,0,baseline
2022-01-09,10.860602720000001,0,baseline
2022-01-10,10.860602720000001,0,baseline
2022-01-11,10.860602720000001,0,baseline
2022-01-12,5.32060272,0,baseline
2022-01-13,7.956089171,0,baseline
2022-01-14,10.980970103,0,baseline
2022-01-15,9.360602720000001,0,baseline
2022-01-16,10.860602720000001,0,baseline
2022-01-17,10.860602720000001,0,baseline
2022-01-18,10.860602720000001,0,baseline
2022-01-19,5.30860272,0,baseline
2022-01-20,9.653479018,0,baseline
2022-01-21,6.80860272,0,baseline
2022-01-22,9.360602720000001,0,baseline
2022-01-23,10.84860272,0,baseline
2022-01-24,10.84860272,0,baseline
2022-01-25,10.84860272,0,baseline
2022-01-26,5.29660272,0,baseline
2022-01-27,9.830814892,0,baseline
2022-01-28,5.29660272,0,baseline
2022-01-29,9.34860272,0,baseline
2022-01-30,10.83660272,0,baseline
2022-01-31,10.84860272,0,baseline
2022-02-01,10.84860272,0,baseline
2022-02-02,5.29660272,0,baseline
2022-02-03,8.29660272,0,baseline
2022-02-04,6.79660272,0,baseline
2022-02-05,9.33660272,0,baseline
2022-02-06,10.89660272,0,baseline
2022-02-07,10.83660272,0,baseline
2022-02-08,10.83660272,0,baseline
2022-02-09,5.28460272,0,baseline
2022-02-10,9.04145369,0,baseline
2022-02-11,6.77260272,0,baseline
2022-02-12,9.32460272,0,baseline
2022-02-13,10.82460272,0,baseline
2022-02-14,10.83660272,0,baseline
2022-02-15,10.82460272,0,baseline
2022-02-16,5.28460272,0,baseline
2022-02-17,6.77260272,0,baseline
2022-02-18,13.146596602,0,baseline
2022-02-19,9.312602720000001,0,baseline
2022-02-20,10.82460272,0,baseline
2022-02-21,10.812602720000001,0,baseline
2022-02-22,10.812602720000001,0,baseline
2022-02-23,5.26060272,0,baseline
2022-02-24,8.27260272,0,baseline
2022-02-25,5.24860272,0,baseline
2022-02-26,5.20060272,0,baseline
2022-02-27,6.70060272,0,baseline
2022-02-28,6.70060272,0,baseline
2022-03-01,6.70060272,0,baseline
2022-03-02,5.24860272,0,baseline
2022-03-03,9.014098915,0,baseline
2022-03-04,6.74860272,0,baseline
2022-03-05,5.18860272,0,baseline
2022-03-06,6.68860272,0,baseline
2022-03-07,6.68860272,0,baseline
2022-03-08,10.78860272,0,baseline
2022-03-09,5.23660272,0,baseline
2022-03-10,8.194536903,0,baseline
2022-03-11,23.424540371,0,baseline
2022-03-12,9.27660272,0,baseline
2022-03-13,10.77660272,0,baseline
2022-03-14,10.77660272,0,baseline
2022-03-15,10.77660272,0,baseline
2022-03-16,5.23660272,0,baseline
2022-03-17,8.22460272,0,baseline
2022-03-18,5.22460272,0,baseline
2022-03-19,9.27660272,0,baseline
2022-03-20,10.77660272,0,baseline
2022-03-21,10.77660272,0,baseline
2022-03-22,10.77660272,0,baseline
2022-03-23,5.22460272,0,baseline
2022-03-24,8.93994373,0,baseline
2022-03-25,5.21260272,0,baseline
2022-03-26,9.264602720000001,0,baseline
2022-03-27,10.764602720000001,0,baseline
2022-03-28,10.764602720000001,0,baseline
2022-03-29,10.77660272,0,baseline
2022-03-30,5.21260272,0,baseline
2022-03-31,6.71260272,0,baseline
2022-04-01,5.21260272,0,baseline
2022-04-02,9.264602720000001,0,baseline
2022-04-03,10.75260272,0,baseline
2022-04-04,10.77660272,0,baseline
2022-04-05,10.75260272,0,baseline
2022-04-06,5.20060272,0,baseline
2022-04-07,9.140018084,0,baseline
2022-04-08,6.70060272,0,baseline
2022-04-09,9.25260272,0,baseline
2022-04-10,10.75260272,0,baseline
2022-04-11,10.75260272,0,baseline
2022-04-12,10.75260272,0,baseline
2022-04-13,5.18860272,0,baseline
2022-04-14,6.68860272,0,baseline
2022-04-15,5.18860272,0,baseline
2022-04-16,9.24060272,0,baseline
2022-04-17,10.74060272,0,baseline
2022-04-18,10.74060272,0,baseline
2022-04-19,10.74060272,0,baseline
2022-04-20,5.18860272,0,baseline
2022-04-21,8.893803496,0,baseline
2022-04-22,6.68860272,0,baseline
2022-04-23,9.24060272,0,baseline
2022-04-24,10.72860272,0,baseline
2022-04-25,10.72860272,0,baseline
2022-04-26,10.72860272,0,baseline
2022-04-27,5.17660272,0,baseline
2022-04-28,9.257140448,0,baseline
2022-04-29,11.224616794000001,0,baseline
2022-04-30,9.22860272,0,baseline
2022-05-01,10.716602720000001,0,baseline
2022-05-02,10.72860272,0,baseline
2022-05-03,10.716602720000001,0,baseline
2022-05-04,5.1646027199999995,0,baseline
2022-05-05,7.362612602,0,baseline
2022-05-06,5.1646027199999995,0,baseline
2022-05-07,9.216602720000001,0,baseline
2022-05-08,10.716602720000001,0,baseline
2022-05-09,10.716602720000001,0,baseline
2022-05-10,10.716602720000001,0,baseline
2022-05-11,5.1646027199999995,0,baseline
2022-05-12,8.908555327,0,baseline
